source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptopworld,lenovo,laptop lenovo loq 15ahp9,amd ryzen 7 8845hs,geforce rtx 4060,16,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,12,27590000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,msi,laptop msi stealth 18 mercedes amg a1vhg 080vn,intel core ultra 9 185h,geforce rtx 4080,64,ddr5,2048,ssd,yes,18.0,3840x2400,120,n/a,99.9,4,2.89,windows 11 home,24,96490000,n/a,n/a,n/a,3,1,1,0,0
laptopworld,asus,laptop asus tuf gaming a14 fa401wv-rg062ws,amd ryzen ai 9 hx 370,geforce rtx 4060,16,ddr5,1024,ssd,yes,14.0,2560x1600,165,400,73.0,4,1.46,windows 11 home,24,40990000,n/a,n/a,n/a,3,1,1,0,0
laptopworld,asus,laptop asus tuf gaming a14 fa401wv-rg061ws,amd ryzen ai 9 hx 370,geforce rtx 4060,32,ddr5,1024,ssd,yes,14.0,2560x1600,165,400,73.0,4,1.46,windows 11 home,24,43490000,n/a,n/a,n/a,3,1,1,0,0
laptopworld,asus,laptop asus rog zephyrus g16 ga605wi-qr090ws,amd ryzen ai 9 hx 370,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,90.0,4,1.85,windows 11 home,24,74990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,asus,laptop asus tuf gaming a15 fa507nur-lp101w,amd ryzen 7 7435hs,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,250,90.0,4,2.2,windows 11 home,24,23990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,lenovo,laptop lenovo loq 15arp9,amd ryzen 7 7435hs,geforce rtx 4060,16,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,12,24990000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,dell,laptop dell gaming g15 5530,intel core i7-13650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,15.6,1920x1080,120,250,86.0,6,2.65,windows 11 home,12,27490000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,lenovo,laptop lenovo loq 15arp9 83jc007hvn,amd ryzen 5 7235hs,geforce rtx 3050,12,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,24,18990000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,lenovo,laptop lenovo loq 15irx9 83dv00ufvn,intel core i7-13650hx,geforce rtx 4060,24,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,24,31590000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,lenovo,laptop lenovo legion 5 16irx9,intel core i9-14900hx,geforce rtx 4070,16,ddr5,512,ssd,yes,16.0,2560x1600,n/a,n/a,80.0,4,2.43,windows 11 home,12,39990000,n/a,n/a,n/a,3,2,1,1,1
laptopworld,lenovo,laptop lenovo legion pro 7 16irx9h,intel core i9-14900hx,geforce rtx 4080,32,ddr5,2048,ssd,yes,16.0,2560x1600,240,500,99.99,4,2.62,windows 11 home,12,65990000,n/a,n/a,n/a,4,2,1,1,1
laptopworld,asus,laptop asus rog strix scar 16 g634jyr-ra132w,intel core i9-14900hx,geforce rtx 4090,32,ddr5,2048,ssd,yes,16.0,2560x1600,240,1100,90.0,4,2.65,windows 11 home,24,116990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,acer,laptop acer predator helios neo phn16-72-78dq nh.qnmsv.00u,intel core i7-14650hx,geforce rtx 4060,16,ddr5,n/a,n/a,yes,16.0,2560x1600,240,500,90.0,4,2.8,windows 11 home,12,45990000,n/a,n/a,n/a,5,0,1,1,1
laptopworld,lenovo,laptop lenovo legion 5 r7000,amd ryzen 7 8745h,geforce rtx 4060,16,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.4,windows 11 home,12,26990000,n/a,n/a,n/a,2,2,1,0,0
laptopworld,gigabyte,laptop gigabyte aorus 16x 9kg-43vnc54sh,intel core i7-13650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,165,n/a,99.0,99whrs,2.3,windows 11 home,24,31990000,n/a,n/a,n/a,2,2,1,1,1
laptopworld,gigabyte,laptop gigabyte aorus 16x asg-53vnc54sh,intel core i7-14650hx,geforce rtx 4070,16,ddr5,1024,ssd,yes,16.0,2560x1600,165,n/a,99.0,99whrs,2.3,windows 11 home,24,41490000,n/a,n/a,n/a,2,2,1,1,1
laptopworld,acer,laptop acer nitro v anv15-51-78bg nh.qqesv.00a,intel core i7-13620h,geforce rtx 4060,16,ddr5,n/a,n/a,yes,15.6,1920x1080,180,n/a,57.5,4,2.1,windows 11 home,12,34990000,n/a,n/a,n/a,0,0,1,1,1
laptopworld,acer,laptop acer gaming nitro v 16 propanel anv16-41-r4kd nh.qp0sv.004,amd ryzen 7 8845hs,geforce rtx 4060,16,ddr5,n/a,n/a,yes,16.0,2048x1152,165,n/a,57.0,4,2.5,windows 11 home,12,36990000,n/a,n/a,n/a,0,0,1,0,1
laptopworld,lenovo,laptop lenovo loq 15arp9,amd ryzen 7 7435hs,geforce rtx 4050,16,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,12,20990000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,asus,laptop asus tuf gaming a15 fa506ncr-hn047w,amd ryzen 7 7435hs,geforce rtx 3050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,250,48.0,3,2.08,windows 11 home,24,20190000,n/a,n/a,n/a,4,0,1,0,1
laptopworld,lenovo,laptop lenovo legion 5 pro 2024 r9000p arx8,amd ryzen 9 7945hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,80.0,6,2.55,windows,12,36490000,n/a,n/a,n/a,4,2,1,0,1
laptopworld,acer,laptop acer predator triton neo 16 ptn16-51-78jq nh.qpnsv.004,intel core ultra 7 155h,geforce rtx 4060,32,ddr5,2048,ssd,yes,16.0,2560x1600,240,500,76.0,76wh,2.05,windows 11 home,12,50990000,n/a,n/a,n/a,0,2,1,0,1
laptopworld,lenovo,laptop lenovo loq 15iax9,intel core i5-12450hx,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.4,windows 11 home,12,17990000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,asus,laptop asus rog zephyrus g16 gu605mi-g16.u94070,intel core ultra 9 185h,geforce rtx 4070,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,90.0,4,1.85,windows 11 home,12,44990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,msi,laptop msi vector 17 hx a14vgg - 219us,intel core i9-14900hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,17.3,2560x1600,240,n/a,90.0,4,3.0,windows,12,49990000,n/a,n/a,n/a,4,1,1,0,0
laptopworld,msi,laptop msi stealth 16 ai studio a1vgg-036us,intel core ultra 9 185h,geforce rtx 4070,64,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,99.99,4,1.99,windows,12,54990000,n/a,n/a,n/a,1,2,1,0,1
laptopworld,msi,laptop msi sword 16 hx b14vgkg-229us,intel core i7-14650hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,1920x1200,144,n/a,65.0,4,2.3,windows,12,35990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,asus,laptop asus rog strix g18 g814jv-rs75,intel core i7-13650hx,geforce rtx 4060,16,ddr5,2048,ssd,yes,18.0,2560x1600,240,n/a,90.0,4,3.0,windows 11 home,12,38990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,n/a,laptop stealth 16 ai studio a1vhg,intel core ultra 9 185h,geforce rtx 4080,64,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,99.99,4,1.99,windows 11 home,24,76990000,n/a,n/a,n/a,1,2,1,0,1
laptopworld,msi,laptop msi stealth a16 ai+ a3xvgg 208vn,amd ryzen ai 9 hx 370,geforce rtx 4070,32,ddr5,2048,ssd,yes,16.0,3840x2400,120,n/a,99.99,4,2.1,windows 11 home,24,72490000,n/a,n/a,n/a,2,1,1,0,0
laptopworld,hp,laptop hp gaming victus 15-fb2063dx,amd ryzen 5 7535hs,radeon rx 6550m,8,ddr5,512,ssd,yes,15.6,1920x1080,144,300,52.5,3,2.29,windows,12,14990000,n/a,n/a,n/a,0,0,1,0,1
laptopworld,acer,laptop acer nitro v 15 propanel anv15-51-500a nh.qnasv.008,intel core i5-13420h,geforce rtx 2050,16,ddr5,n/a,n/a,yes,15.6,1920x1080,180,300,57.0,4,2.1,windows 11 home,12,23990000,n/a,n/a,n/a,0,0,1,0,1
laptopworld,acer,laptop acer nitro v 15 propanel anv15-51-56d5 nh.qn9sv.00b,intel core i5-13420h,geforce rtx 3050,16,ddr5,n/a,n/a,yes,15.6,1920x1080,180,300,57.0,4,2.1,windows 11 home,12,24990000,n/a,n/a,n/a,0,0,1,0,1
laptopworld,acer,laptop acer nitro v 15 propanel anv15-51-73bt nh.qnasv.009,intel core i7-13620h,geforce rtx 2050,16,ddr5,n/a,n/a,yes,15.6,1920x1080,180,300,57.0,4,2.1,windows 11 home,12,25990000,n/a,n/a,n/a,0,0,1,0,1
laptopworld,asus,laptop asus gaming vivobook k3605zf-rp634w,intel core i5-12500h,geforce rtx 2050,16,ddr4,512,ssd,yes,16.0,1920x1200,144,300,50.0,3,1.8,windows 11 home,24,16890000,n/a,n/a,n/a,2,1,1,0,1
laptopworld,dell,laptop dell alienware x14 r2,intel core i7-13620h,geforce rtx 4050,16,ddr5,512,ssd,yes,14.0,2560x1600,165,300,80.0,6,1.91,windows 11 home,12,32990000,n/a,n/a,n/a,2,2,1,0,0
laptopworld,lenovo,laptop lenovo legion 7 16irx9 83fd004mvn,intel core i9-14900hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,3200x2000,165,430,99.99,4,2.24,windows 11 home,24,59890000,n/a,n/a,n/a,2,3,1,0,1
laptopworld,asus,laptop asus tuf gaming a15 fa506nfr-hn006w,amd ryzen 7 7435hs,geforce rtx 2050,16,ddr5,512,ssd,yes,n/a,1920x1080,144,250,48.0,3,2.3,windows 11 home,24,17990000,n/a,n/a,n/a,4,0,1,0,1
laptopworld,lenovo,laptop lenovo loq 15arp9 ai 83jc007jvn,amd ryzen 5 7235hs,geforce rtx 3050,24,ddr5,n/a,n/a,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,24,20490000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,asus,laptop asus rog flow x16 gv601vv-nf044w,intel core i9-13900h,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.0,windows 11 home,24,49990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,asus,laptop asus tuf gaming a16 advantage edition fa617nsr-rl100w,amd ryzen 7 7435hs,radeon rx7600s,16,ddr5,512,ssd,yes,16.0,1920x1200,144,n/a,90.0,4,2.2,windows 11 home,24,n/a,n/a,n/a,n/a,4,0,1,0,1
laptopworld,lenovo,laptop lenovo legion 5 16irx9,intel core i7-14650hx,geforce rtx 4060,16,ddr5,512,ssd,yes,16.0,2560x1600,165,350,80.0,4,2.36,windows 11 home,12,31990000,n/a,n/a,n/a,3,2,1,1,1
laptopworld,lenovo,laptop lenovo legion pro 5 16irx9 83df0047vn,intel core i9-14900hx,geforce rtx 4060,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,80.0,4,2.5,windows 11 home,24,44390000,n/a,n/a,n/a,4,2,1,1,1
laptopworld,asus,laptop asus rog strix g16 g614ju-n4132w,intel core i7-13650hx,geforce rtx 4050,16,ddr5,512,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.5,windows 11 home,24,33990000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,asus,laptop asus tuf gaming f15 fx507zc4-hn074w,intel core i5-12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,n/a,56.0,4,2.2,windows 11 home,24,18490000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,asus,laptop asus rog zephyrus g16 gu603vv-n4022w,intel core i7-13620h,geforce rtx 4060,16,ddr4,512,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.0,windows 11 home,24,40590000,n/a,n/a,n/a,3,1,1,0,1
laptopworld,apple,macbook air m3 15.3inch mryv3sa,apple m3 8-core,n/a,8,"8gb


bộ nhớ thống nhất 8gb


có thể nâng cấp thành:


16gb hoặc 24gb",512,ssd,yes,15.3,2880x1864,60,n/a,66.5,"thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 66,5 watt-giờ


bộ tiếp hợp nguồn cổng usb-c kép 35w


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w",n/a,macos,12,37590000,n/a,n/a,n/a,0,0,0,0,0
laptopworld,apple,"macbook air 15.3inch 16gb, 512gb starlight - 2023",apple m2 8-core,n/a,8,"8gb


8gb unified memory


configurable to:


16gb or 24gb",512,ssd,yes,15.3,2880x1864,60,n/a,66.5,"lên đến 18 giờ phát lại phim trên ứng dụng apple tv


lên đến 15 giờ web không dây


pin lithium-polymer 66,5 watt-giờ


bộ đổi nguồn nhỏ gọn cổng usb-c kép 35w


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ đổi nguồn usb-c 70w",n/a,macos,12,41290000,n/a,n/a,n/a,0,0,0,0,0
laptopworld,apple,"macbook air 15.3inch 16gb, 512gb midnight - 2023",apple m2 8-core,n/a,8,"8gb


8gb unified memory


configurable to:


16gb or 24gb",512,ssd,yes,15.3,2880x1864,60,n/a,66.5,"lên đến 18 giờ phát lại phim trên ứng dụng apple tv


lên đến 15 giờ web không dây


pin lithium-polymer 66,5 watt-giờ


bộ đổi nguồn nhỏ gọn cổng usb-c kép 35w


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ đổi nguồn usb-c 70w",n/a,macos,12,41290000,n/a,n/a,n/a,0,0,0,0,0
laptopworld,apple,macbook air m3 13.6inch mrxn3sa,apple m3 8-core,n/a,8,"8gb


bộ nhớ thống nhất 8gb


có thể nâng cấp thành:


16gb hoặc 24gb",256,ssd,yes,13.6,2560x1664,60,n/a,52.6,"thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 52,6 watt-giờ


bộ tiếp hợp nguồn usb-c 30w (đi kèm phiên bản m2 và m3 với gpu 8 lõi)


bộ tiếp hợp nguồn cổng usb-c kép 35w (đi kèm phiên bản m2 và m3 với gpu 10 lõi và dung lượng lưu trữ 512gb, có thể cấu hình với phiên bản m2 và m3 với gpu 8 lõi)


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w",n/a,macos,12,26890000,n/a,n/a,n/a,0,0,0,0,0
laptopworld,apple,macbook air m3 13.6inch mrxq3sa,apple m3 8-core,n/a,8,"8gb


bộ nhớ thống nhất 8gb


có thể nâng cấp thành:


16gb hoặc 24gb",256,ssd,yes,13.6,2560x1664,60,n/a,52.6,"thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 52,6 watt-giờ


bộ tiếp hợp nguồn usb-c 30w (đi kèm phiên bản m2 và m3 với gpu 8 lõi)


bộ tiếp hợp nguồn cổng usb-c kép 35w (đi kèm phiên bản m2 và m3 với gpu 10 lõi và dung lượng lưu trữ 512gb, có thể cấu hình với phiên bản m2 và m3 với gpu 8 lõi)


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w",n/a,macos,12,26890000,n/a,n/a,n/a,0,0,0,0,0
laptopworld,apple,macbook air m3 13.6inch mrxv3sa,apple m3 8-core,n/a,8,"8gb


bộ nhớ thống nhất 8gb


có thể nâng cấp thành:


16gb hoặc 24gb",256,ssd,yes,13.6,2560x1664,60,n/a,52.6,"thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 52,6 watt-giờ


bộ tiếp hợp nguồn usb-c 30w (đi kèm phiên bản m2 và m3 với gpu 8 lõi)


bộ tiếp hợp nguồn cổng usb-c kép 35w (đi kèm phiên bản m2 và m3 với gpu 10 lõi và dung lượng lưu trữ 512gb, có thể cấu hình với phiên bản m2 và m3 với gpu 8 lõi)


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w",n/a,macos,12,26890000,n/a,n/a,n/a,0,0,0,0,0
